category,img_url,product_id,product_name,price
育嬰用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1215109400101,嬌生嬰兒溫和沐浴露750ml,199.0
男女內著,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe47dd8b9/images/large/6101707300401.jpg?sw=300&bgcolor=FFFFFF,6101707300401,寶可夢短袖套裝-140公分,379.0
居家護理,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1212600700101,護得住超乾爽吸水棉35cm-9PC,69.0
嬰童紙尿褲,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw93b4982f/watermark/0701-indexbanner-pampers.png,1223403800101,幫寶適一級幫巧虎安睡褲XXL號22片,549.0
育嬰用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1215207700101,嬌生嬰兒純淨潤膚乳,199.0
營養保健食品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfa4ea3d1/watermark/10times.png,1232600500103,[箱購]紅牛聰勁即溶乳清蛋白-可可風味2LB磅 x3桶/箱,2997.0
營養保健食品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfa4ea3d1/watermark/10times.png,1232603700103,[箱購]紅牛聰勁即溶乳清蛋白-花生巧克力風味 2磅x3桶/箱,2997.0
營養保健食品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfa4ea3d1/watermark/10times.png,1232609600103,紅牛聰勁即溶乳清蛋白-珍珠奶茶風味 2磅x3桶/箱,2997.0
營養保健食品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfa4ea3d1/watermark/10times.png,1232700600103,紅牛聰勁即溶乳清蛋白-曼特寧2磅x3桶/箱,2997.0
育嬰用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw1f6a880e/watermark/supplier.png,6131125100101,優生口手臉柔潤濕巾20抽24包,540.0
育嬰用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1215111800101,博寶兒植萃沐浴露-佩佩豬,265.0
居家護理,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1212600600101,護得住超乾爽吸水棉28cm-11PC,69.0
育嬰用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1215111000101,嬌生嬰兒蜜桃水嫩沐浴露,169.0
居家護理,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1230101100101,【安心價】菲力家族棉花棒600支,61.0
居家護理,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1230100900101,菲力家族螺旋彩妝棉花棒200支*,61.0
居家護理,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1230101000101,菲力家族棉花棒細軸200支*2,52.0
保健養生,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5edb5e5e/images/large/0120567_68mlx12.jpeg?sw=300&bgcolor=FFFFFF,1002309000101,華佗冬蟲夏草雞精68mlX12,432.0
保健養生,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1cd6ddb7/images/large/0216455_60mlx6.jpeg?sw=300&bgcolor=FFFFFF,1002305600101,白蘭氏養蔘飲冰糖燉梨60mlx6,339.0
嬰幼服飾,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfa4ea3d1/watermark/10times.png,6135303800101,雙層紗親膚純棉紗布被(新生兒包巾嬰兒被)-花色隨機出貨,629.0
營養保健食品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1232018800101,好立善超級B群發泡錠,185.0
