category,img_url,product_id,product_name,price
免洗餐具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwebecb96c/images/large/3125800600101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3125800600101,【免洗餐具】自然風咖啡調味棒,35.0
免洗餐具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4040e944/images/large/0084505.jpeg?sw=300&bgcolor=FFFFFF,3124400100101,【免洗餐具】萬用PE手套(手扒雞手套),49.0
保鮮容器,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,3142000300101,南亞美食鋁箔30cm*7.5M*2支,123.0
免洗餐具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3bff5b41/images/large/3125300100101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3125300100101,【免洗餐具】免洗筷#666,36.0
BBQ烤肉器具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3c219682/images/large/31272002001.jpg?sw=300&bgcolor=FFFFFF,3127200200101,火種18入,20.0
BBQ烤肉器具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0b1ce68c/images/large/3126600200101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3126600200101,【免洗餐具】竹串8寸,25.0
BBQ烤肉器具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw14c804c5/images/large/3126800300101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3126800300101,【烤肉用品】烤肉刷3入,19.0
BBQ烤肉器具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3d8db436/images/large/3126700200101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3126700200101,【烤肉用品】烤肉夾3入,28.0
免洗餐具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw17f5a29e/images/large/3124089900101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3124089900101,【免洗餐具】優質大餐巾紙,55.0
保鮮容器,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3066d929/images/large/31420025001-1.jpg?sw=300&bgcolor=FFFFFF,3142002500101,妙潔直火安心特級鋁箔-8M,67.0
BBQ烤肉器具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb635d884/images/large/0255728_-3.jpeg?sw=300&bgcolor=FFFFFF,3127101600101,【烤肉用品】高級木炭 3公斤,159.0
免洗餐具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb131bad4/images/large/3125300200101_NR_00.jpg?sw=300&bgcolor=FFFFFF,3125300200101,【免洗餐具】自然風超值免洗筷,20.0
免洗餐具,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5e345fa9/images/large/31-236050-001-01.png?sw=300&bgcolor=FFFFFF,3123605000101,家福9盎司紙杯 (200入）,215.0
