category,img_url,product_id,product_name,price
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwddc853d1/images/large/0014907_ct300ml.jpeg?sw=300&bgcolor=FFFFFF,1001403200106,黑松百香果C/TP300ml,43.0
豆乾．肉乾．海苔,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb1167f22/images/large/0270217_-.jpeg?sw=300&bgcolor=FFFFFF,1420405300101,【安心價】橘平屋岩燒海苔-辣味4.2gx3,42.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw806d3c84/images/large/10031001001.jpg?sw=300&bgcolor=FFFFFF,1003100100106,泰山冰鎮檸檬紅茶250ml,45.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw70580d41/images/large/1003400400106.png?sw=300&bgcolor=FFFFFF,1003400400106,立頓檸檬紅茶TP250ml,40.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa10908c9/images/large/0273475_-250ml.jpeg?sw=300&bgcolor=FFFFFF,1003191100106,午后時光錫蘭紅茶250ml,46.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwfd90ee17/images/large/1003200600106.jpg?sw=300&bgcolor=FFFFFF,1003200600106,立頓奶茶TP250ml,40.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2061cecd/images/large/1003100300101.png?sw=300&bgcolor=FFFFFF,1003100300101,KIRIN 午後紅茶-紅茶 500ml,39.0
機能飲料,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4def2947/images/large/1002102500106_NR_00.jpg?sw=300&bgcolor=FFFFFF,1002102500106,黑松FIN健康補給飲料-300ml,43.0
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9ef476ea/images/large/0014913_ct300ml.jpeg?sw=300&bgcolor=FFFFFF,1001300300106,黑松葡萄汁-TP300ml,43.0
機能飲料,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7750e660/images/large/1002102500124_NR_00.jpg?sw=300&bgcolor=FFFFFF,1002102500124,黑松FIN健康補給飲料-300ml,168.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw41a154dc/images/large/1003208400104.jpg?sw=300&bgcolor=FFFFFF,1003208400104,雀巢茶品沖繩黑糖奶茶 500ml,92.0
機能飲料,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw32a25232/watermark/0601-indexbanner-tqf.png,1002100800124,舒跑TP250ml,179.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwca75d810/images/large/1003204700124.png?sw=300&bgcolor=FFFFFF,1003204700106,阿薩姆原味奶茶TP250ml,43.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwaed8079e/images/large/0254437_-250ml.png?sw=300&bgcolor=FFFFFF,1003401100106,光泉茉莉茶園蘋果紅茶-250ml,40.0
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw23522df4/images/large/0014911_ct300ml.jpeg?sw=300&bgcolor=FFFFFF,1001201100106,黑松柳橙汁-TP300ml,43.0
洋芋片．薯條,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe530e8bd/images/large/1402228000101.png?sw=300&bgcolor=FFFFFF,1402228000101,品客美式煙燻火烤BBQ風味洋芋片,55.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw66ca5fad/images/large/0222765_250ml.jpeg?sw=300&bgcolor=FFFFFF,1003201600106,御茶園特上奶茶250ml,45.0
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwacc4ec16/images/large/0099018_et600ml.jpeg?sw=300&bgcolor=FFFFFF,1003001500104,茶裏王青心烏龍無糖Pet-600mlx4,72.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8cef3618/images/large/1003200800106.jpg?sw=300&bgcolor=FFFFFF,1003200800106,立頓瑞士巧克力奶茶TP250ml,40.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8cef3618/images/large/1003200800106.jpg?sw=300&bgcolor=FFFFFF,1003200800124,立頓瑞士巧克力奶茶TP250ml,159.0
