category,img_url,product_id,product_name,price
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwa4f40ec9/watermark/0701-indexbanner-reliable-.png,1212316600101,靠得住晚安好眠褲L 2片,99.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwa4f40ec9/watermark/0701-indexbanner-reliable-.png,1212391200101,靠得住晚安好眠褲XL號,99.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwa4f40ec9/watermark/0701-indexbanner-reliable-.png,1212313600101,靠得住晚安好眠褲M 2片,99.0
洗護造型,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfe136b34/watermark/0701-indexbanner-pg.png,1200306900101,【潘婷】三分鐘護髮精華素-多效,239.0
卸妝洗顏,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1202011200101,專科超微米洗卸兩用潔淨慕絲n,275.0
乳液．防曬．保養,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1202300700101,露得清水活保濕凝露環保補充包50g,299.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwfa4ea3d1/watermark/10times.png,1212308500124,[箱購]蘇菲超熟睡超薄乾爽瞬吸層35cm8片x3包x8組/箱,1112.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201100200101,美琪抗菌沐浴乳(鳶尾花與巴特梨),129.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201126400101,美琪抗菌沐浴乳680ml(海洋),129.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201126700101,綠的抗菌沐浴乳-鳶尾花精萃-1000ml,145.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw563757da/watermark/0701-indexbanner-unileve.png,1201129300101,麗仕清爽香氛沐浴乳沁涼石榴1000ml,172.0
卸妝洗顏,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1202013000101,澎澎MAN胺基酸麝香瑪卡洗面乳,84.0
洗護造型,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1200114200101,澎澎香浴乳補充包-鎖水抗菌700g,99.0
口腔清潔用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1210214300101,日本獅王固齒佳酵素極致亮白牙膏 泫橘薄荷,89.0
卸妝洗顏,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1202023200101,MENS Biore沁涼淨油洗面乳,79.0
卸妝洗顏,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1202029800101,露得清深層淨化柔滑去角質露100g,109.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201129100101,美琪抗菌沐浴乳680ml(茶樹),129.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw54a3a508/watermark/0701-indexbanner-sophie-.png,1212391300101,蘇菲超熟睡細緻棉柔41.5cm8片,89.0
口腔清潔用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1210105100101,刷樂兒童含氟牙膏_青蘋果口味,75.0
乳液．防曬．保養,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1202328600101,BellaBeauty玻尿酸安瓶面膜,19.0
衛生棉,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd2577dde/images/large/1212304000101.jpg?sw=300&bgcolor=FFFFFF,1212304000108,[箱購] 蕾妮亞輕潔抑菌薄型特長夜用型30cm6PC片 x 3 x 8SET組,792.0
衛生棉,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3a252eb8/images/large/1212205600101.jpg?sw=300&bgcolor=FFFFFF,1212205600106,[箱購] 蕾妮亞輕潔抑菌薄型量多日用加長型25cm14PC片 x 2 x 6SET組,594.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1212308000103,蕾妮亞零觸感特薄超長夜用35cm-7PC,139.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201100500101,澎澎元氣炭控油沐浴乳補充包700g,109.0
彩妝．護唇膏,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9c6def85/images/large/1203486700101_NR_00.jpg?sw=300&bgcolor=FFFFFF,1203486700101,Diptyque譚道淡香精,4599.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1212108700102,蕾妮亞零觸感特薄量多日用22.5cm-20PC,139.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw54a3a508/watermark/0701-indexbanner-sophie-.png,1212005300102,蘇菲彈力貼身瞬吸加長護墊17.5cm(花香)28PC,69.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201023400101,美琪抗菌洗手乳-玫瑰果萃 1加侖,450.0
口腔清潔用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1210505600101,日本獅王LION固齒佳酵素漱口水450mlx2,278.0
口腔清潔用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1210201500101,德恩奈草本美白牙膏,148.0
衛生棉,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwa4f40ec9/watermark/0701-indexbanner-reliable-.png,1212002500102,靠得住暖心香氛梔子花護墊14.5cm-25PC,66.0
口腔清潔用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1210490000104,好來纖柔寶貝兔兒童牙刷,79.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201005600101,Biore抗菌洗手慕絲-自然清香-280ml自然清香,112.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201108800101,"蜜妮高彈潤沐浴慕絲-優雅花香*限量包裝,恕不指定(以實際出貨為主)",219.0
洗護造型,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1200318800101,萊雅玻尿酸高效瞬護8秒水髮膜,519.0
彩妝．護唇膏,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5d88e2ef/images/large/1203288800101_NR_00.jpg?sw=300&bgcolor=FFFFFF,1203288800101,Ga奢華絲絨唇萃6.5ml,930.0
彩妝．護唇膏,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dweb96bc40/images/large/1203486100101_NR_00.jpg?sw=300&bgcolor=FFFFFF,1203486100101,Davidoff冷泉女淡香水,820.0
沐浴用品,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dwaba4b0fc/watermark/0701-indexbanner-summermake.png,1201117800101,美琪抗菌沐浴乳680ml(杏桃花與蜂蜜),129.0
